iso_week_start_date,product_id,product_name,category,location_id,ending_inventory_units,ending_inventory_cost,days_on_hand,weeks_of_supply,is_low_stock,is_overstock,stockout_risk_flag,carrying_cost_usd,sales_units,cogs,hold_flag,hold_reason
2022-03-21,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,26,238.16,0.1,0,true,false,true,1.15,2303,21095.48,false,null
2022-03-28,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,202,1850.32,1.3,0.2,true,false,true,8.9,1095,10030.2,false,null
2022-04-04,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,349,3196.84,1.5,0.2,true,false,true,15.37,1652,15132.32,false,null
2022-04-11,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,547,5010.52,1.6,0.2,true,false,true,24.09,2383,21828.28,true,QC hold
2022-04-18,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,666,6100.56,2.7,0.4,true,false,true,29.33,1754,16066.64,false,null
2022-04-25,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,46,421.36,0.4,0.1,true,false,true,2.03,852,7804.32,false,null
2022-05-02,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,523,4790.68,3.8,0.5,true,false,true,23.03,967,8857.72,false,null
2022-05-09,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,340,3114.4,1.4,0.2,true,false,true,14.97,1715,15709.4,false,null
2022-05-16,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,468,4286.88,2.4,0.3,true,false,true,20.61,1370,12549.2,false,null
2022-05-23,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,3,27.48,0,0,true,false,true,0.13,1075,9847,false,null
2022-05-30,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,575,5267,3.5,0.5,true,false,true,25.32,1146,10497.36,false,null
2022-06-06,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,154,1410.64,0.8,0.1,true,false,true,6.78,1338,12256.08,false,null
2022-06-13,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,246,2253.36,1.3,0.2,true,false,true,10.83,1332,12201.12,false,null
2022-06-20,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,240,2198.4,1.1,0.2,true,false,true,10.57,1471,13474.36,true,QC hold
2022-06-27,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,397,3636.52,2.5,0.4,true,false,true,17.48,1092,10002.72,false,null
2022-07-04,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,197,1804.52,0.6,0.1,true,false,true,8.68,2477,22689.32,false,null
2022-07-11,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,273,2500.68,1.6,0.2,true,false,true,12.02,1196,10955.36,false,null
2022-07-18,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,149,1364.84,0.8,0.1,true,false,true,6.56,1251,11459.16,false,null
2022-07-25,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,340,3114.4,2.4,0.3,true,false,true,14.97,1002,9178.32,false,null
2022-08-01,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,303,2775.48,1.5,0.2,true,false,true,13.34,1453,13309.48,false,null
2022-08-08,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,258,2363.28,0.7,0.1,true,false,true,11.36,2454,22478.64,false,null
2022-08-15,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,608,5569.28,3.1,0.4,true,false,true,26.78,1355,12411.8,false,null
2022-08-22,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,348,3187.68,1.6,0.2,true,false,true,15.33,1557,14262.12,false,null
2022-08-29,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,22,201.52,0.1,0,true,false,true,0.97,1735,15892.6,false,null
2022-09-05,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,384,3517.44,1.2,0.2,true,false,true,16.91,2243,20545.88,false,null
2022-09-12,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,686,6283.76,2.4,0.3,true,false,true,30.21,1963,17981.08,false,null
2022-09-19,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,270,2473.2,1.8,0.3,true,false,true,11.89,1026,9398.16,false,null
2022-09-26,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,538,4928.08,3.9,0.6,true,false,true,23.69,958,8775.28,false,null
2022-10-03,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,688,6302.08,3.1,0.4,true,false,true,30.3,1536,14069.76,false,null
2022-10-10,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,308,2821.28,3.4,0.5,true,false,true,13.56,627,5743.32,false,null
2022-10-17,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,380,3480.8,2.2,0.3,true,false,true,16.73,1231,11275.96,false,null
2022-10-24,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,136,1245.76,1.2,0.2,true,false,true,5.99,806,7382.96,false,null
2022-10-31,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,136,1245.76,1.4,0.2,true,false,true,5.99,668,6118.88,false,null
2022-11-07,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,506,4634.96,4,0.6,true,false,true,22.28,880,8060.8,false,null
2022-11-14,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,498,4561.68,4.1,0.6,true,false,true,21.93,842,7712.72,false,null
2022-11-21,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,25,229,0.1,0,true,false,true,1.1,1198,10973.68,false,null
2022-11-28,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,458,4195.28,4,0.6,true,false,true,20.17,793,7263.88,false,null
2022-12-05,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,247,2262.52,1.4,0.2,true,false,true,10.88,1258,11523.28,false,null
2022-12-12,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,337,3086.92,4.3,0.6,true,false,true,14.84,555,5083.8,false,null
2022-12-19,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,414,3792.24,4,0.6,true,false,true,18.23,730,6686.8,false,null
2022-12-26,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,246,2253.36,2.1,0.3,true,false,true,10.83,830,7602.8,false,null
2023-01-02,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,269,2464.04,4.1,0.6,true,false,true,11.85,455,4167.8,false,null
2023-01-09,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,259,2372.44,4.4,0.6,true,false,true,11.41,413,3783.08,false,null
2023-01-16,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,478,4378.48,5.7,0.8,true,false,true,21.05,589,5395.24,false,null
2023-01-23,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,188,1722.08,2.2,0.3,true,false,true,8.28,589,5395.24,false,null
2023-01-30,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,532,4873.12,6.1,0.9,true,false,true,23.43,614,5624.24,false,null
2023-02-06,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,305,2793.8,3.6,0.5,true,false,true,13.43,601,5505.16,false,null
2023-02-13,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,368,3370.88,2.1,0.3,true,false,true,16.21,1235,11312.6,false,null
2023-02-20,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,483,4424.28,4.1,0.6,true,false,true,21.27,821,7520.36,false,null
2023-02-27,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,530,4854.8,5.5,0.8,true,false,true,23.34,673,6164.68,false,null
2023-03-06,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,329,3013.64,4.1,0.6,true,false,true,14.49,558,5111.28,false,null
2023-03-13,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,365,3343.4,3.5,0.5,true,false,true,16.07,721,6604.36,false,null
2023-03-20,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,158,1447.28,0.7,0.1,true,false,true,6.96,1683,15416.28,false,null
2023-03-27,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,456,4176.96,2.2,0.3,true,false,true,20.08,1456,13336.96,false,null
2023-04-03,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,240,2198.4,1.1,0.2,true,false,true,10.57,1548,14179.68,true,QC hold
2023-04-10,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,634,5807.44,3.5,0.5,true,false,true,27.92,1269,11624.04,true,QC hold
2023-04-17,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,345,3160.2,2,0.3,true,false,true,15.19,1217,11147.72,true,QC hold
2023-04-24,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,164,1502.24,0.8,0.1,true,false,true,7.22,1428,13080.48,false,null
2023-05-01,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,419,3838.04,1.4,0.2,true,false,true,18.45,2136,19565.76,false,null
2023-05-08,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,127,1163.32,0.5,0.1,true,false,true,5.59,1944,17807.04,false,null
2023-05-15,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,379,3471.64,2.6,0.4,true,false,true,16.69,1040,9526.4,false,null
2023-05-22,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,236,2161.76,0.6,0.1,true,false,true,10.39,2758,25263.28,false,null
2023-05-29,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,540,4946.4,1.4,0.2,true,false,true,23.78,2681,24557.96,false,null
2023-06-05,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,88,806.08,0.7,0.1,true,false,true,3.88,857,7850.12,false,null
2023-06-12,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,311,2848.76,1.5,0.2,true,false,true,13.7,1470,13465.2,false,null
2023-06-19,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,339,3105.24,2.1,0.3,true,false,true,14.93,1119,10250.04,false,null
2023-06-26,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,227,2079.32,0.6,0.1,true,false,true,10,2870,26289.2,true,QC hold
2023-07-03,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,340,3114.4,1,0.1,true,false,true,14.97,2467,22597.72,false,null
2023-07-10,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,554,5074.64,6.7,1,true,false,true,24.4,581,5321.96,false,null
2023-07-17,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,357,3270.12,1.9,0.3,true,false,true,15.72,1330,12182.8,false,null
2023-07-24,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,554,5074.64,2.1,0.3,true,false,true,24.4,1861,17046.76,false,null
2023-07-31,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,479,4387.64,2,0.3,true,false,true,21.09,1666,15260.56,false,null
2023-08-07,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,245,2244.2,1.1,0.2,true,false,true,10.79,1511,13840.76,false,null
2023-08-14,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,193,1767.88,0.6,0.1,true,false,true,8.5,2237,20490.92,false,null
2023-08-21,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,364,3334.24,1.3,0.2,true,false,true,16.03,1934,17715.44,false,null
2023-08-28,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,339,3105.24,1.8,0.3,true,false,true,14.93,1293,11843.88,false,null
2023-09-04,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,0,0,0,0,true,false,true,0,1517,13895.72,false,null
2023-09-11,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,227,2079.32,1.3,0.2,true,false,true,10,1203,11019.48,false,null
2023-09-18,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,319,2922.04,2.2,0.3,true,false,true,14.05,1022,9361.52,false,null
2023-09-25,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,96,879.36,0.5,0.1,true,false,true,4.23,1476,13520.16,false,null
2023-10-02,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,324,2967.84,2.8,0.4,true,false,true,14.27,819,7502.04,false,null
2023-10-09,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,275,2519,1.3,0.2,true,false,true,12.11,1445,13236.2,false,null
2023-10-16,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,282,2583.12,2.4,0.3,true,false,true,12.42,808,7401.28,false,null
2023-10-23,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,352,3224.32,1.7,0.2,true,false,true,15.5,1424,13043.84,false,null
2023-10-30,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,309,2830.44,7.4,1.1,true,false,true,13.61,294,2693.04,false,null
2023-11-06,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,56,512.96,0.2,0,true,false,true,2.47,1659,15196.44,false,null
2023-11-13,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,483,4424.28,1.9,0.3,true,false,true,21.27,1780,16304.8,false,null
2023-11-20,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,131,1199.96,1.1,0.2,true,false,true,5.77,834,7639.44,false,null
2023-11-27,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,112,1025.92,1.4,0.2,true,false,true,4.93,558,5111.28,false,null
2023-12-04,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,66,604.56,0.5,0.1,true,false,true,2.91,947,8674.52,false,null
2023-12-11,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,628,5752.48,3.9,0.6,true,false,true,27.66,1134,10387.44,true,QC hold
2023-12-18,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,391,3581.56,4.4,0.6,true,false,true,17.22,619,5670.04,false,null
2023-12-25,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,167,1529.72,1.2,0.2,true,false,true,7.35,1007,9224.12,false,null
2024-01-01,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,456,4176.96,7.3,1,true,false,true,20.08,437,4002.92,false,null
2024-01-08,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,487,4460.92,5.2,0.7,true,false,true,21.45,656,6008.96,false,null
2024-01-15,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,464,4250.24,5.9,0.8,true,false,true,20.43,554,5074.64,false,null
2024-01-22,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,185,1694.6,1.8,0.3,true,false,true,8.15,710,6503.6,false,null
2024-01-29,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,609,5578.44,3.6,0.5,true,false,true,26.82,1192,10918.72,false,null
2024-02-05,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,556,5092.96,3,0.4,true,false,true,24.49,1319,12082.04,false,null
2024-02-12,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,526,4818.16,3.7,0.5,true,false,true,23.16,996,9123.36,false,null
2024-02-19,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,255,2335.8,1.7,0.2,true,false,true,11.23,1057,9682.12,false,null
2024-02-26,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,386,3535.76,1.5,0.2,true,false,true,17,1796,16451.36,false,null
2024-03-04,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,449,4112.84,2.9,0.4,true,false,true,19.77,1066,9764.56,false,null
2024-03-11,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,8,73.28,0,0,true,false,true,0.35,1572,14399.52,false,null
2024-03-18,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,488,4470.08,3.2,0.5,true,false,true,21.49,1060,9709.6,false,null
2024-03-25,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,320,2931.2,2.7,0.4,true,false,true,14.09,821,7520.36,false,null
2024-04-01,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,0,0,0,0,true,false,true,0,2101,19245.16,false,null
2024-04-08,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,267,2445.72,1.5,0.2,true,false,true,11.76,1257,11514.12,false,null
2024-04-15,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,468,4286.88,2.4,0.3,true,false,true,20.61,1360,12457.6,false,null
2024-04-22,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,238,2180.08,1.7,0.2,true,false,true,10.48,984,9013.44,false,null
2024-04-29,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,430,3938.8,1.9,0.3,true,false,true,18.94,1544,14143.04,false,null
2024-05-06,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,162,1483.92,1,0.1,true,false,true,7.13,1190,10900.4,false,null
2024-05-13,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,361,3306.76,2.9,0.4,true,false,true,15.9,882,8079.12,false,null
2024-05-20,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,451,4131.16,1.7,0.2,true,false,true,19.86,1857,17010.12,false,null
2024-05-27,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,101,925.16,0.4,0.1,true,false,true,4.45,1992,18246.72,false,null
2024-06-03,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,102,934.32,0.4,0.1,true,false,true,4.49,1804,16524.64,false,null
2024-06-10,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,373,3416.68,1.7,0.2,true,false,true,16.43,1523,13950.68,false,null
2024-06-17,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,0,0,0,0,true,false,true,0,1198,10973.68,false,null
2024-06-24,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,484,4433.44,2.3,0.3,true,false,true,21.31,1485,13602.6,false,null
2024-07-01,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,273,2500.68,2.3,0.3,true,false,true,12.02,819,7502.04,false,null
2024-07-08,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,397,3636.52,7.7,1.1,true,false,true,17.48,363,3325.08,false,null
2024-07-15,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,297,2720.52,1.8,0.3,true,false,true,13.08,1158,10607.28,false,null
2024-07-22,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,349,3196.84,1.5,0.2,true,false,true,15.37,1616,14802.56,false,null
2024-07-29,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,251,2299.16,1,0.1,true,false,true,11.05,1716,15718.56,false,null
2024-08-05,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,355,3251.8,1.3,0.2,true,false,true,15.63,1920,17587.2,false,null
2024-08-12,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,473,4332.68,4.8,0.7,true,false,true,20.83,696,6375.36,false,null
2024-08-19,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,545,4992.2,3.2,0.5,true,false,true,24,1178,10790.48,false,null
2024-08-26,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,328,3004.48,3.6,0.5,true,false,true,14.44,645,5908.2,false,null
2024-09-02,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,364,3334.24,4.7,0.7,true,false,true,16.03,540,4946.4,false,null
2024-09-09,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,237,2170.92,2.1,0.3,true,false,true,10.44,780,7144.8,false,null
2024-09-16,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,0,0,0,0,true,false,true,0,1630,14930.8,false,null
2024-09-23,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,269,2464.04,2.2,0.3,true,false,true,11.85,844,7731.04,false,null
2024-09-30,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,68,622.88,0.6,0.1,true,false,true,2.99,793,7263.88,false,null
2024-10-07,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,304,2784.64,1.5,0.2,true,false,true,13.39,1424,13043.84,false,null
2024-10-14,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,136,1245.76,1.1,0.2,true,false,true,5.99,856,7840.96,false,null
2024-10-21,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,134,1227.44,0.8,0.1,true,false,true,5.9,1196,10955.36,false,null
2024-10-28,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,547,5010.52,4.1,0.6,true,false,true,24.09,930,8518.8,false,null
2024-11-04,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,522,4781.52,8.7,1.2,true,false,true,22.99,421,3856.36,false,null
2024-11-11,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,316,2894.56,2,0.3,true,false,true,13.92,1112,10185.92,false,null
2024-11-18,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,446,4085.36,4.6,0.7,true,false,true,19.64,675,6183,false,null
2024-11-25,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,530,4854.8,15.6,2.2,false,false,false,23.34,238,2180.08,false,null
2024-12-02,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,0,0,0,0,true,false,false,0,899,8234.84,false,null
2024-12-09,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,348,3187.68,2,0.3,true,false,false,15.33,1234,11303.44,true,QC hold
2024-12-16,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,326,2986.16,21.7,3.1,false,false,false,14.36,105,961.8,false,null
2024-12-23,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,476,4360.16,5.8,0.8,true,false,true,20.96,570,5221.2,false,null
2024-12-30,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,103,943.48,1.3,0.2,true,false,false,4.54,549,5028.84,false,null
2025-01-06,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,101,925.16,0.8,0.1,true,false,false,4.45,884,8097.44,false,null
2025-01-13,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,289,2647.24,3.9,0.6,true,false,true,12.73,516,4726.56,false,null
2025-01-20,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,316,2894.56,1.8,0.3,true,false,true,13.92,1197,10964.52,false,null
2025-01-27,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,0,0,0,0,true,false,true,0,711,6512.76,false,null
2025-02-03,APX-00002,Apex Pro Hex Bolts M12 #2,fasteners,WH-CENTRAL-01,180,1648.8,1.6,0.2,true,false,true,7.93,780,7144.8,false,null
